,temp,rain,google,naver,subway,holy,vacation,do1_pop,do2_pop,byun_pop,store,fri,thu,wed,mon,sun,sat,tue,mon1,mon2,mon3,mon4,mon5,mon6,mon7,mon8,mon9,mon10,mon11,mon12
1140,-0.5858572665543621,-0.4080943743750859,0.6111164928531708,1.19180405237237,-1.2918608283446895,-0.22962911081999196,0.0,-0.7909337265031092,-0.7338967463084723,-0.7722888264427309,-0.9857494563981939,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1458,-1.0000414319288624,-0.49812232425082514,2.0638469988562065,1.3897654404528468,0.7213075075101119,-0.22962911081999196,1.0,-1.335015183882814,-1.3539834916542464,-1.1552692605889379,-1.149912049872947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,0.6862798128101741,-0.49812232425082514,-0.7447653128318372,-0.17301563241202056,6.292519753370443e-16,-0.22962911081999196,0.0,1.0522810066607882,1.1081638787543406,1.2539229285968079,1.3125268522483502,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1402,-1.4240871250503744,-0.49812232425082514,1.1481865584772555,-0.03500013495241779,0.878534934032323,-0.22962911081999196,0.0,-1.208432967267944,-1.239585936957332,-1.117537198111479,-0.8215868629234407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1114,-1.3945025418093389,-0.49812232425082514,0.2765482549986961,-0.34750864442563345,0.8884157005230615,-0.22962911081999196,1.0,-0.7787196529700954,-0.6142993027616983,-0.7307835577175261,-0.9857494563981939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,-1.1972719868691006,-0.49812232425082514,0.056437572345667514,0.0005507185930152551,0.8337147394255375,-0.22962911081999196,1.0,-0.7642848387947155,-0.4869020259401347,-0.6911648921161944,-0.9857494563981939,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1696,0.5482184243520072,-0.49812232425082514,1.9846071534215977,1.0177733154404842,-1.7963853055030772,-0.22962911081999196,0.0,-1.431617401825741,-1.504780268300179,-1.4665587760279732,-0.9857494563981939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1168,-0.1223654624448025,-0.49812232425082514,0.910467021557118,0.10928879420989406,0.9625322596702204,-0.22962911081999196,0.0,-0.8742115005918395,-0.7936954680818594,-0.7571960014517474,-0.9857494563981939,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157,-0.18153462892687391,-0.49812232425082514,0.21491726383119572,-0.4976066193638054,0.9757210289466984,-0.22962911081999196,0.0,-0.8531144644893611,-0.7871956070195347,-0.7421031764607638,-0.9857494563981939,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,1.2483868943898528,0.057088341745995426,0.514267792535143,-0.7576057455811005,0.7176968116590106,-0.22962911081999196,1.0,0.6858588006703749,0.7090724095276056,0.4313639665882056,0.6558764783493376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1527,-0.41821129485515973,-0.49812232425082514,1.1834042682440928,0.945280561414191,-1.4814764128606124,-0.22962911081999196,0.0,-1.3638848122335738,-1.4046824079403788,-1.1628156730844297,-1.3140746433477002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
