corona,holyday,bok,vacation,temp,rain_ox,rain,subway,store,naver,youtube,thu,wed,mon,sun,sat,tue,mon2,mon3,mon4,mon5,mon6,mon7,mon8,mon9,mon10,mon11,mon12,rain1,rain2,rain3,order
0.0,0.0,0.0,0.0,0.4,1.0,1.0647107369924282,127079.0,45.0,5.676944000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36
0.0,0.0,0.0,0.0,0.1,0.0,0.0,130819.0,45.0,15.813503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44
0.0,0.0,0.0,0.0,3.5,1.0,0.09531017980432487,85670.0,45.0,15.115453,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64
0.0,0.0,0.0,0.0,6.8,0.0,0.0,84930.0,45.0,16.46294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,63
0.0,0.0,0.0,0.0,6.9,0.0,0.0,126633.0,45.0,7.321376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33
0.0,0.0,0.0,0.0,4.4,0.0,0.0,126054.0,45.0,9.979426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49
0.0,0.0,0.0,0.0,6.2,1.0,2.0412203288596382,121838.0,45.0,7.5499160000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32
0.0,0.0,0.0,0.0,2.6,1.0,1.5260563034950492,122112.0,45.0,8.4053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,52
0.0,0.0,0.0,0.0,1.8,1.0,0.4054651081081644,123715.0,45.0,11.923944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51
0.0,0.0,0.0,0.0,5.4,0.0,0.0,91607.0,45.0,11.444092999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61
0.0,0.0,0.0,0.0,2.1,0.0,0.0,84914.0,45.0,12.97038,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53
0.0,0.0,0.0,0.0,2.1,0.0,0.0,126408.0,45.0,12.310367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33
